books;language_books;movies;language_movies;Sorting_completed_YN;Sorting_house;Sorting_house_wish;age;country;language;occupation;gender;PVQ_M_01;PVQ_M_02;PVQ_M_03;PVQ_M_04;PVQ_M_05;PVQ_M_06;PVQ_M_07;PVQ_M_08;PVQ_M_09;PVQ_M_10;PVQ_M_11;PVQ_M_12;PVQ_M_13;PVQ_M_14;PVQ_M_15;PVQ_M_16;PVQ_M_17;PVQ_M_18;PVQ_M_19;PVQ_M_20;PVQ_M_21;PVQ_M_22;PVQ_M_23;PVQ_M_24;PVQ_M_25;PVQ_M_26;PVQ_M_27;PVQ_M_28;PVQ_M_29;PVQ_M_30;PVQ_M_31;PVQ_M_32;PVQ_M_33;PVQ_M_34;PVQ_M_35;PVQ_M_36;PVQ_M_37;PVQ_M_38;PVQ_M_39;PVQ_M_40;PVQ_M_41;PVQ_M_42;PVQ_M_43;PVQ_M_44;PVQ_M_45;PVQ_M_46;PVQ_M_47;PVQ_M_48;PVQ_M_49;PVQ_M_50;PVQ_M_51;PVQ_M_52;PVQ_M_53;PVQ_M_54;PVQ_M_55;PVQ_M_56;PVQ_M_57;PVQ_F_01;PVQ_F_02;PVQ_F_03;PVQ_F_04;PVQ_F_05;PVQ_F_06;PVQ_F_07;PVQ_F_08;PVQ_F_09;PVQ_F_10;PVQ_F_11;PVQ_F_12;PVQ_F_13;PVQ_F_14;PVQ_F_15;PVQ_F_16;PVQ_F_17;PVQ_F_18;PVQ_F_19;PVQ_F_20;PVQ_F_21;PVQ_F_22;PVQ_F_23;PVQ_F_24;PVQ_F_25;PVQ_F_26;PVQ_F_27;PVQ_F_28;PVQ_F_29;PVQ_F_30;PVQ_F_31;PVQ_F_32;PVQ_F_33;PVQ_F_34;PVQ_F_35;PVQ_F_36;PVQ_F_37;PVQ_F_38;PVQ_F_39;PVQ_F_40;PVQ_F_41;PVQ_F_42;PVQ_F_43;PVQ_F_44;PVQ_F_45;PVQ_F_46;PVQ_F_47;PVQ_F_48;PVQ_F_49;PVQ_F_50;PVQ_F_51;PVQ_F_52;PVQ_F_53;PVQ_F_54;PVQ_F_55;PVQ_F_56;PVQ_F_57;SD_M1;SD_M2;SD_M3;SD_M4;SD_M5;SD_M6;SD_M7;SD_M8;SD_M9;SD_N1;SD_N2;SD_N3;SD_N4;SD_N5;SD_N6;SD_N7;SD_N8;SD_N9;SD_P1;SD_P2;SD_P3;SD_P4;SD_P5;SD_P6;SD_P7;SD_P8;SD_P9;IPIP_01;IPIP_02;IPIP_03;IPIP_04;IPIP_05;IPIP_06;IPIP_07;IPIP_08;IPIP_09;IPIP_10;IPIP_11;IPIP_12;IPIP_13;IPIP_14;IPIP_15;IPIP_16;IPIP_17;IPIP_18;IPIP_19;IPIP_20;IPIP_21;IPIP_22;IPIP_23;IPIP_24;IPIP_25;IPIP_26;IPIP_27;IPIP_28;IPIP_29;IPIP_30;IPIP_31;IPIP_32;IPIP_33;IPIP_34;IPIP_35;IPIP_36;IPIP_37;IPIP_38;IPIP_39;IPIP_40;IPIP_41;IPIP_42;IPIP_43;IPIP_44;IPIP_45;IPIP_46;IPIP_47;IPIP_48;IPIP_49;IPIP_50;Bravery;Hardwork;Intelligence;Ambition;Daring;Dedication;Knowledge;Cunning;Extraverted;Agreeable;Clever;Manipulative;SD3_Machiavellianism;SD3_Narcissism;SD3_Psychopathy;IPIP_Extraversion;IPIP_Agreeableness;IPIP_Conscientiousness;IPIP_EmStability;IPIP_Intellect;PVQ_01;PVQ_02;PVQ_03;PVQ_04;PVQ_05;PVQ_06;PVQ_07;PVQ_08;PVQ_09;PVQ_10;PVQ_11;PVQ_12;PVQ_13;PVQ_14;PVQ_15;PVQ_16;PVQ_17;PVQ_18;PVQ_19;PVQ_20;PVQ_21;PVQ_22;PVQ_23;PVQ_24;PVQ_25;PVQ_26;PVQ_27;PVQ_28;PVQ_29;PVQ_30;PVQ_31;PVQ_32;PVQ_33;PVQ_34;PVQ_35;PVQ_36;PVQ_37;PVQ_38;PVQ_39;PVQ_40;PVQ_41;PVQ_42;PVQ_43;PVQ_44;PVQ_45;PVQ_46;PVQ_47;PVQ_48;PVQ_49;PVQ_50;PVQ_51;PVQ_52;PVQ_53;PVQ_54;PVQ_55;PVQ_56;PVQ_57
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";English;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";English;Yes;Ravenclaw;Ravenclaw;26;Germany;German;Employed;Male;6;6;6;3;6;2;4;3;2;2;2;2;3;6;3;6;4;1;2;1;1;2;6;2;4;5;5;3;1;6;1;3;1;5;2;4;6;3;5;1;1;2;4;1;1;2;1;4;2;3;2;6;4;2;3;5;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;2;1;5;1;5;1;1;1;5;5;1;1;1;3;1;1;2;1;4;2;1;1;5;1;5;5;1;5;1;5;5;5;4;4;2;5;1;5;3;2;5;3;4;1;5;3;2;4;2;4;5;1;5;1;5;4;3;3;2;5;4;4;4;2;5;4;2;2;2;4;3;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Ravenclaw;Ravenclaw;Ravenclaw;Hufflepuff;Hufflepuff;Ravenclaw;Slytherin;14;17;16;23;41;27;42;43;6;6;6;3;6;2;4;3;2;2;2;2;3;6;3;6;4;1;2;1;0;2;6;2;4;5;5;3;1;6;1;3;1;5;2;4;6;3;5;1;1;2;4;1;1;2;1;4;2;3;2;6;4;2;3;5;6
none of the above;didn't read any;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one";German;No;Gryffindor;Ravenclaw;28;Germany;German;Employed;Male;5;4;3;3;5;5;3;5;3;2;6;4;4;5;2;6;6;5;6;4;1;3;6;6;4;4;6;3;4;3;4;3;2;3;3;4;4;2;5;4;3;3;4;2;4;2;3;5;5;4;2;3;4;4;6;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;5;2;3;4;1;1;5;5;3;4;2;5;3;4;3;2;3;2;3;3;5;3;1;3;1;5;1;3;3;5;4;2;5;3;5;3;4;5;3;4;3;3;4;3;4;2;4;3;2;4;3;4;5;3;4;2;2;5;3;5;3;4;1;2;5;4;3;3;2;5;1;4;3;3;4;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;30;32;24;30;31;32;27;45;5;4;3;3;5;5;3;5;3;2;6;4;4;5;2;6;6;5;6;4;0;3;6;6;4;4;6;3;4;3;4;3;2;3;3;4;4;2;5;4;3;3;4;2;4;2;3;5;5;4;2;3;4;4;6;4;4
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";lithuanian;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";English;Yes;Ravenclaw;Ravenclaw;21;Lithuania;Lithuanian;Student;Female; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;3;2;5;4;2;4;3;3;5;6;3;6;5;4;5;6;4;4;3;1;4;5;4;6;6;6;2;4;4;3;3;2;4;3;5;4;5;4;2;3;5;4;2;1;2;4;6;5;3;5;3;4;3;6;4;4;4;2;1;3;3;2;4;3;4;2;3;2;1;3;2;3;2;4;1;3;2;1;4;2;1;1;2;2;3;2;1;3;2;3;4;2;3;3;2;3;2;3;2;4;4;2;3;2;2;2;4;3;2;5;4;1;3;2;2;4;3;3;2;2;3;2;2;2;2;3;2;3;2;2;3;2;3;Gryffindor;Ravenclaw;Ravenclaw;Gryffindor;Gryffindor;Slytherin;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Ravenclaw;Slytherin;26;21;17;21;27;32;21;29;4;3;2;5;4;2;4;3;3;5;6;3;6;5;4;5;6;4;4;3;1;4;5;4;6;6;6;2;4;4;3;3;2;4;3;5;4;5;4;2;3;5;4;2;1;2;4;6;5;3;5;3;4;3;6;4;4
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";English;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";English;Yes;Hufflepuff;Ravenclaw;26;Germany;German;Employed;Female; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;6;6;6;4;5;2;2;5;5;5;5;6;5;4;5;5;5;4;5;1;5;5;5;5;6;5;2;3;4;4;6;2;4;6;6;2;3;5;3;4;5;5;4;2;5;5;5;5;6;5;3;6;2;5;5;2;4;2;4;4;3;2;4;4;4;2;2;2;2;4;2;3;4;4;1;1;2;1;3;2;1;1;2;2;5;2;1;4;3;4;2;2;4;3;4;3;1;4;2;5;4;2;4;2;4;3;2;4;4;4;2;4;5;3;4;3;4;4;2;4;3;4;3;2;4;3;4;4;2;3;3;3;4;Gryffindor;Hufflepuff;Ravenclaw;Ravenclaw;Gryffindor;Slytherin;Hufflepuff;Slytherin;Slytherin;Hufflepuff;Ravenclaw;Slytherin;31;25;14;25;41;33;27;40;5;6;6;6;4;5;2;2;5;5;5;5;6;5;4;5;5;5;4;5;1;5;5;5;5;6;5;2;3;4;4;6;2;4;6;6;2;3;5;3;4;5;5;4;2;5;5;5;5;6;5;3;6;2;5;5;2
none of the above;None;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";English;No;Slytherin;Slytherin;31;Germany;German;Unemployed;Male;5;4;4;3;3;5;1;3;5;5;4;6;5;3;2;5;6;2;4;5;2;2;5;5;4;4;4;6;6;6;1;6;1;3;3;5;2;2;5;2;5;1;5;4;2;3;4;4;6;2;2;1;1;1;3;5;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;3;3;5;5;5;5;5;4;4;2;4;3;5;3;5;3;3;4;2;1;5;3;1;4;3;3;3;3;4;5;3;3;4;5;5;3;3;5;4;5;3;2;5;5;5;3;3;3;4;4;4;2;3;4;5;3;2;4;4;5;4;2;3;4;4;4;3;4;4;4;2;3;2;5;4;Gryffindor;Ravenclaw;Ravenclaw;Hufflepuff;Hufflepuff;Gryffindor;Ravenclaw;Slytherin;Hufflepuff;Gryffindor;Ravenclaw;Slytherin;40;33;26;32;26;31;43;46;5;4;4;3;3;5;1;3;5;5;4;6;5;3;2;5;6;2;4;5;0;2;5;5;4;4;4;6;6;6;1;6;1;3;3;5;2;2;5;2;5;1;5;4;2;3;4;4;6;2;2;1;1;1;3;5;2
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";German;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";German;Yes;Slytherin;Gryffindor;22;Austria;German;Student;Female; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;6;5;5;4;4;4;5;5;6;5;4;5;6;4;6;6;3;5;4;3;4;5;5;5;5;6;5;4;5;4;6;3;6;5;5;5;5;5;4;3;4;6;3;4;3;3;6;5;4;4;5;4;5;6;6;6;4;2;2;3;2;2;3;3;2;3;3;2;2;2;3;2;3;5;2;4;1;2;2;2;2;3;2;2;4;5;4;5;3;5;2;4;3;4;4;4;4;4;3;4;4;3;2;3;4;3;4;3;2;4;3;4;5;3;5;4;3;4;4;4;3;3;4;4;4;3;4;4;2;3;5;3;3;Gryffindor;Slytherin;Gryffindor;Slytherin;Slytherin;Ravenclaw;Gryffindor;Slytherin;Hufflepuff;Hufflepuff;Slytherin;Slytherin;23;24;20;30;41;40;36;37;5;6;5;5;4;4;4;5;5;6;5;4;5;6;4;6;6;3;5;4;3;4;5;5;5;5;6;5;4;5;4;6;3;6;5;5;5;5;5;4;3;4;6;3;4;3;3;6;5;4;4;5;4;5;6;6;6
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";Czech;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";czech;Yes;Ravenclaw;Ravenclaw;20;Austria;czech;Student;Female; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;6;6;2;2;5;2;6;4;5;5;4;6;2;4;4;6;4;6;3;3;2;6;4;5;6;5;3;4;5;6;6;4;3;4;6;4;4;4;4;6;1;3;1;5;3;4;6;5;5;2;4;5;3;5;5;4;2;2;2;2;1;1;1;1;2;4;2;1;1;4;5;1;4;2;1;4;1;1;3;1;2;1;2;1;5;4;3;4;2;2;4;2;5;2;5;3;2;4;2;3;5;5;4;3;5;2;3;2;2;3;3;2;4;1;1;3;2;3;2;3;4;4;2;1;2;3;2;4;2;2;3;4;3;Gryffindor;Gryffindor;Gryffindor;Gryffindor;Slytherin;Ravenclaw;Gryffindor;Gryffindor;Gryffindor;Hufflepuff;Gryffindor;Slytherin;14;24;16;18;31;30;29;35;3;6;6;2;2;5;2;6;4;5;5;4;6;2;4;4;6;4;6;3;3;2;6;4;5;6;5;3;4;5;6;6;4;3;4;6;4;4;4;4;6;1;3;1;5;3;4;6;5;5;2;4;5;3;5;5;4
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";German and English;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";German;Yes;Ravenclaw;Ravenclaw;24;Germany;German;Student;Female; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;5;4;4;6;2;3;4;5;3;6;2;4;5;2;5;4;1;4;2;2;2;4;4;4;5;5;2;1;4;2;2;1;5;4;5;4;2;6;1;1;2;3;1;1;3;3;2;3;3;2;4;2;3;4;5;5;3;3;3;4;4;2;3;3;4;1;2;3;3;3;2;3;1;5;1;2;1;1;3;1;2;1;1;2;5;3;5;5;4;4;3;5;5;4;2;5;5;5;3;5;5;4;5;3;4;4;5;5;4;4;2;5;5;3;4;4;4;5;2;3;4;5;5;2;4;4;4;4;3;4;5;5;4;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;29;24;13;30;39;42;47;48;6;5;4;4;6;2;3;4;5;3;6;2;4;5;2;5;4;1;4;2;2;2;4;4;4;5;5;2;1;4;2;2;1;5;4;5;4;2;6;1;1;2;3;1;1;3;3;2;3;3;2;4;2;3;4;5;5
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";German and English;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";German and English;No;Ravenclaw;Gryffindor;23;Germany;German;Student;Female; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;6;3;6;2;5;5;4;5;6;1;5;6;4;6;6;2;6;2;4;2;6;4;4;5;6;4;2;5;3;6;4;6;4;6;6;4;6;4;1;5;5;1;5;5;6;5;5;4;2;6;5;5;6;6;6;4;2;3;2;1;4;3;1;4;4;2;3;3;3;2;4;2;4;3;2;1;3;4;1;1;1;1;2;5;5;5;5;4;5;1;5;5;4;5;5;1;5;3;5;2;3;5;3;5;3;4;4;3;4;2;5;5;3;5;3;4;5;2;4;3;4;5;2;3;3;4;4;3;4;4;3;4;Gryffindor;Ravenclaw;Ravenclaw;Ravenclaw;Gryffindor;Gryffindor;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;24;27;17;29;45;40;38;47;5;5;6;3;6;2;5;5;4;5;6;1;5;6;4;6;6;2;6;2;4;2;6;4;4;5;6;4;2;5;3;6;4;6;4;6;6;4;6;4;1;5;5;1;5;5;6;5;5;4;2;6;5;5;6;6;6
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";German (& some in English);"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";German & English;Yes;Slytherin;Ravenclaw;22;Germany;German;Student;Female; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;4;5;6;3;4;5;3;4;5;2;4;6;4;5;5;2;3;3;5;6;5;3;5;3;5;4;1;5;5;4;2;5;3;5;6;5;5;3;2;5;6;2;5;2;4;4;3;4;5;6;2;4;5;5;5;3;2;1;4;2;2;4;2;4;3;1;2;1;3;3;2;2;3;2;3;2;2;3;2;1;2;2;2;4;3;3;4;2;4;3;3;4;3;5;4;2;3;2;5;4;3;4;2;5;2;2;4;4;4;4;4;4;1;4;4;4;3;2;4;3;4;4;2;4;3;4;4;1;3;4;3;4;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Slytherin;Slytherin;24;21;19;21;42;36;32;38;5;4;4;5;6;3;4;5;3;4;5;2;4;6;4;5;5;2;3;3;5;6;5;3;5;3;5;4;1;5;5;4;2;5;3;5;6;5;5;3;2;5;6;2;5;2;4;4;3;4;5;6;2;4;5;5;5
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";Deutsch;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";English;No;Ravenclaw;Hufflepuff;28;Germany;german;Student;Female; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;5;4;5;5;3;3;5;5;4;5;4;4;5;6;6;6;3;5;5;5;6;4;4;5;5;5;3;3;4;4;5;3;5;4;5;4;5;5;4;3;4;3;4;5;4;5;5;6;4;5;4;5;5;5;6;4;3;3;4;4;2;4;4;4;4;3;2;4;3;4;2;2;2;4;2;2;3;1;2;1;1;1;2;2;5;3;2;5;1;5;1;2;3;4;5;4;1;4;2;4;3;3;5;2;5;1;3;3;4;4;2;2;5;1;5;3;2;3;3;4;4;3;4;3;4;2;2;4;3;5;4;3;4;Gryffindor;Ravenclaw;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Slytherin;Hufflepuff;Ravenclaw;Slytherin;32;27;15;25;46;34;23;40;4;5;4;5;5;3;3;5;5;4;5;4;4;5;6;6;6;3;5;5;5;6;4;4;5;5;5;3;3;4;4;5;3;5;4;5;4;5;5;4;3;4;3;4;5;4;5;5;6;4;5;4;5;5;5;6;4
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";German;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";German;No;Gryffindor;Gryffindor;20;Germany;German;Student;Female; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;6;6;4;5;4;4;5;4;5;6;4;5;6;4;6;6;3;5;5;3;3;6;5;6;6;6;5;4;5;3;5;2;6;5;6;6;6;5;4;4;3;6;4;4;5;5;4;5;5;3;6;3;3;5;5;5;4;3;4;2;3;4;5;3;5;4;4;3;3;4;4;2;4;5;2;4;2;1;4;3;1;1;2;3;5;4;3;5;3;5;3;4;5;3;4;5;2;5;3;4;3;4;5;4;5;4;2;4;3;3;3;2;4;5;5;3;3;4;2;3;4;4;4;4;5;4;4;4;3;4;4;5;3;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;33;32;20;33;43;40;33;43;6;6;6;4;5;4;4;5;4;5;6;4;5;6;4;6;6;3;5;5;3;3;6;5;6;6;6;5;4;5;3;5;2;6;5;6;6;6;5;4;4;3;6;4;4;5;5;4;5;5;3;6;3;3;5;5;5
"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows";German;"Harry Potter and the Philosopher's Stone;Harry Potter and the Chamber of Secrets;Harry Potter and the Prisoner of Azkaban;Harry Potter and the Goblet of Fire;Harry Potter and the Order of the Phoenix;Harry Potter and the Half-Blood Prince;Harry Potter and the Deathly Hallows part one;Harry Potter and the Deathly Hallows part two";German;No;Hufflepuff;Hufflepuff;27;Germany;German;Student;Female; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;6;4;5;6;3;5;5;4;4;6;4;4;6;5;5;5;4;6;1;4;4;5;4;6;5;6;1;2;3;5;5;5;5;6;4;6;4;5;5;3;6;3;1;5;1;5;4;4;5;4;6;4;3;6;5;5;4;2;3;2;1;1;3;2;3;3;3;2;1;3;4;1;1;2;1;2;1;1;3;1;1;1;2;1;5;4;3;4;4;5;3;4;4;3;4;3;3;5;2;4;4;3;5;2;5;2;4;4;4;5;2;4;5;2;5;4;4;4;2;3;3;4;4;2;4;4;4;5;3;4;3;5;5;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Gryffindor;Ravenclaw;Slytherin;Ravenclaw;Hufflepuff;Hufflepuff;Slytherin;21;19;13;25;44;37;38;45;4;6;4;5;6;3;5;5;4;4;6;4;4;6;5;5;5;4;6;1;4;4;5;4;6;5;6;1;2;3;5;5;5;5;6;4;6;4;5;5;3;6;3;1;5;1;5;4;4;5;4;6;4;3;6;5;5
